Date,06752260_Streamflow
2000-01,3631.7886
2000-02,4568.3970
2000-03,170.9777
2000-04,2404.5972
2000-05,15955.0752
2000-06,10661.3125
2000-07,3948.3550
2000-08,6186.5366
2000-09,2308.5957
2000-10,501.6271
2000-11,353.0630
2000-12,1526.7000
2001-01,1322.9945
2001-02,1067.1230
2001-03,1184.1495
2001-04,232.6646
2001-05,12121.3672
2001-06,10377.6719
2001-07,4656.2661
2001-08,2386.3489
2001-09,647.8111
2001-10,108.2991
2001-11,327.0791
2001-12,689.2662
2002-01,1241.6710
2002-02,1255.5555
2002-03,431.6096
2002-04,254.2847
2002-05,4966.6841
2002-06,10800.1572
2002-07,2148.3289
2002-08,1471.3604
2002-09,436.7667
2002-10,255.8715
2002-11,126.4283
2002-12,795.9786
2003-01,683.1174
2003-02,443.1139
2003-03,321.9221
2003-04,1796.4559
2003-05,15719.2373
2003-06,22927.2773
2003-07,6079.4277
2003-08,3062.5239
2003-09,1562.0062
2003-10,603.1824
2003-11,233.4579
2003-12,255.2764
2004-01,181.6886
2004-02,49.0520
2004-03,85.0128
2004-04,1963.6650
2004-05,13735.7373
2004-06,17659.0996
2004-07,10921.1514
2004-08,5041.0654
2004-09,4286.3433
2004-10,20590.7129
2004-11,1551.6920
2004-12,1030.6266
2005-01,583.9424
2005-02,443.7090
2005-03,506.5859
2005-04,1137.7356
2005-05,11641.7568
2005-06,31989.8887
2005-07,5446.6909
2005-08,4675.1094
2005-09,3699.2275
2005-10,11026.2764
2005-11,272.7313
2005-12,165.2256
2006-01,414.1548
2006-02,313.3930
2006-03,1301.1760
2006-04,1602.0730
2006-05,16139.1445
2006-06,17690.8359
2006-07,10899.3320
2006-08,4045.1499
2006-09,3467.1580
2006-10,4490.6440
2006-11,264.4005
2006-12,1232.5469
2007-01,1588.1885
2007-02,2360.3650
2007-03,3306.4944
2007-04,1711.5621
2007-05,13215.0684
2007-06,17204.8789
2007-07,7227.8740
2007-08,5218.5884
2007-09,1046.2963
2007-10,4099.2993
2007-11,217.5900
2007-12,201.5236
2008-01,204.6972
2008-02,171.5728
2008-03,323.1122
2008-04,1262.1011
2008-05,10224.1494
2008-06,36458.7148
2008-07,8886.0801
2008-08,2713.4280
2008-09,5123.3804
2008-10,551.6113
2008-11,225.3256
2008-12,243.7722
2009-01,190.2177
2009-02,188.2341
2009-03,416.5350
2009-04,1427.5249
2009-05,11135.1709
2009-06,50345.1953
2009-07,7908.2144
2009-08,3276.7419
2009-09,4471.0073
2009-10,7251.6758
2009-11,3461.2075
2009-12,2560.6985
2010-01,1751.4305
2010-02,979.8490
2010-03,663.0840
2010-04,6365.6465
2010-05,51612.6523
2010-06,90721.3203
2010-07,8614.3408
2010-08,4736.5981
2010-09,1980.7231
2010-10,9675.5127
2010-11,2425.8206
2010-12,3504.8445
2011-01,2423.8369
2011-02,1438.0375
2011-03,2449.6226
2011-04,1428.1200
2011-05,23299.1836
2011-06,129758.5859
2011-07,65166.1055
2011-08,5728.3481
2011-09,6105.0146
2011-10,3836.4856
2011-11,4260.5581
2011-12,3653.6069
2012-01,3078.3921
2012-02,1886.3085
2012-03,1783.1665
2012-04,4441.0566
2012-05,12349.2715
2012-06,7834.8252
2012-07,7842.7588
2012-08,6995.8047
2012-09,3645.6731
2012-10,2822.5205
2012-11,347.9059
2012-12,786.0610
2013-01,1108.7765
2013-02,1003.6510
2013-03,504.4041
2013-04,354.0547
2013-05,20447.9023
2013-06,17851.5000
2013-07,4643.3735
2013-08,3001.0354
2013-09,64582.7617
2013-10,8983.2715
2013-11,9685.4307
2013-12,7652.3428
2014-01,5615.2886
2014-02,5232.4731
2014-03,8858.3105
2014-04,11331.7354
2014-05,87640.9453
2014-06,114041.3359
2014-07,16022.7129
2014-08,10917.1836
2014-09,5230.4893
2014-10,7452.0093
2014-11,8745.2520
2014-12,7057.2930
2015-01,7029.5239
2015-02,5811.6548
2015-03,8913.8486
2015-04,15808.4951
2015-05,118454.6172
2015-06,137157.0469
2015-07,19384.7461
2015-08,8858.3105
2015-09,3619.0940
2015-10,2443.6721
2015-11,3215.2534
2015-12,5807.6880
